Sub Topic,Question,Answer
Vapour Pressure of Liquid Solutions,Boiling point of water at 750 mm Hg is 99.63°C. How much sucrose is to be added to 500 g of water such that  it boils at 100°C.Molal elevation constant for water is 0.52 K kg mol-1.    ,"Here, elevation of boiling point ΔTb= (100 + 273) - (99.63 + 273)  = 0.37 K  Mass of water, wl= 500 g  Molar mass of sucrose (C12H22O11), M2= 11 × 12 + 22 × 1 + 11 × 16  = 342 g mol - 1  Molal elevation constant, Kb= 0.52 K kg mol - 1  We know that:      = 121.67 g (approximately)  Hence, 121.67 g of sucrose is to be added.  Note:There is a slight variation in this answer and the one given in the NCERT textbook."
Types of Solutions,Define the term solution. How many types of solutions are formed? Write briefly about each type with an  example.,"Homogeneous mixtures of two or more than two components are known as solutions.  There are three types of solutions.  (i) Gaseous solution:  The solution in which the solvent is a gas is called a gaseous solution. In these solutions, the solute may be liquid,  solid, or gas. For example, a mixture of oxygen and nitrogen gas is a gaseous solution.  (ii) Liquid solution:  The solution in which the solvent is a liquid is known as a liquid solution. The solute in these solutions may be gas,  liquid, or solid.  For example, a solution of ethanol in water is a liquid solution.  (iii) Solid solution:  The solution in which the solvent is a solid is known as a solid solution. The solute may be gas, liquid or solid. For  example, a solution of copper in gold is a solid solution."
Expressing Concentration of Solutions,Give an example of solid solution in which the solute is a gas.,"In case a solid solution is formed between two substances (one having very large particles and the other having very  small particles), an interstitial solid solution will be formed. For example, a solution of hydrogen in palladium is a solid  solution in which the solute is a gas."
Expressing Concentration of Solutions,Define the following terms:  (i) Mole fraction  (ii) Molality  (iii) Molarity  (iv) Mass percentage.,"(i) Mole fraction:  The mole fraction of a component in a mixture is defined as the ratio of the number of moles of the component to the  total number of moles of all the components in the mixture.  i.e.,  Mole fraction of a component          Mole fraction is denoted by 'x'.  If in a binary solution, the number of moles of the solute and the solvent are nA and nB respectively, then the mole  fraction of the solute in the solution is given by,    Similarly, the mole fraction of the solvent in the solution is given as:    (ii) Molality  Molality (m) is defined as the number of moles of the solute per kilogram of the solvent. It is expressed as:  Molality (m)   (iii) Molarity  Molarity (M) is defined as the number of moles of the solute dissolved in one Litre of the solution.  It is expressed as:  Molarity (M)   (iv) Mass percentage:  The mass percentage of a component of a solution is defined as the mass of the solute in grams present in 100 g of  the solution. It is expressed as:  Mass % of a component"
Expressing Concentration of Solutions,Concentrated nitric acid used in laboratory work is 68% nitric acid by mass in aqueous solution. What should  be the molarity of such a sample of the acid if the density of the solution is 1.504 g mL-1?,"Concentrated nitric acid used in laboratory work is 68% nitric acid by mass in an aqueous solution. This means that  68 g of nitric acid is dissolved in 100 g of the solution.  Molar mass of nitric acid (HNO3) = 1 × 1 + 1 × 14 + 3 × 16 = 63 g mol - 1  Then, number of moles of HNO3            Given,  Density of solution = 1.504 g mL - 1  Volume of 100 g solution =      Molarity of solution"
Solubility,"A solution of glucose in water is labelled as 10% w/w, what would be the molality and mole fraction of each  component in the solution? If the density of solution is 1.2 g mL-1, then what shall be the molarity of the  solution?","10% w/w solution of glucose in water means that 10 g of glucose in present in 100 g of the solution i.e., 10 g of  glucose is present in (100 - 10) g = 90 g of water.  Molar mass of glucose (C6H12O6) = 6 × 12 + 12 × 1 + 6 × 16 = 180 g mol - 1  Then, number of moles of glucose    = 0.056 mol  Molality of solution  = 0.62 m  Number of moles of water    = 5 mol  Mole fraction of glucose   And, mole fraction of water    = 1 - 0.011  = 0.989  If the density of the solution is 1.2 g mL - 1, then the volume of the 100 g solution can be given as:          Molarity of the solution    = 0.67 M"
Solubility,How many mL of 0.1 M HCl are required to react completely with 1 g mixture of Na2CO3 and  NaHCO3containing equimolar amounts of both?,"Let the amount of Na2CO3 in the mixture be x g.  Then, the amount of NaHCO3 in the mixture is (1 - x) g.  Molar mass of Na2CO3 = 2 × 23 + 1 × 12 + 3 × 16  = 106 g mol - 1   Number of moles Na2CO3    Molar mass of NaHCO3 = 1 × 23 + 1 × 1 × 12 + 3 × 16  = 84 g mol - 1  Number of moles of NaHCO3    According to the question,    ⇒ 84x = 106 - 106x  ⇒ 190x = 106  ⇒ x = 0.5579  Therefore, number of moles of Na2CO3    = 0.0053 mol  And, number of moles of NaHCO3          = 0.0053 mol  HCl reacts with Na2CO3 and NaHCO3 according to the following equation.      1 mol of Na2CO3 reacts with 2 mol of HCl.  Therefore, 0.0053 mol of Na2CO3 reacts with 2 × 0.0053 mol = 0.0106 mol.  Similarly, 1 mol of NaHCO3 reacts with 1 mol of HCl.  Therefore, 0.0053 mol of NaHCO3 reacts with 0.0053 mol of HCl.  Total moles of HCl required = (0.0106 + 0.0053) mol  = 0.0159 mol  In 0.1 M of HCl,  0.1 mol of HCl is preset in 1000 mL of the solution.  Therefore, 0.0159 mol of HCl is present in    = 159 mL of the solution  Hence, 159 mL of 0.1 M of HCl is required to react completely with 1 g mixture of Na2CO3 and NaHCO3, containing  equimolar amounts of both."
Vapour Pressure of Liquid Solutions,What role does the molecular interaction play in a solution of alcohol and water?,"In pure alcohol and water, the molecules are held tightly by a strong hydrogen bonding. The interaction between the  molecules of alcohol and water is weaker than alcohol-alcohol and water-water interactions. As a result, when alcohol  and water are mixed, the intermolecular interactions become weaker and the molecules can easily escape. This  increases the vapour pressure of the solution, which in turn lowers the boiling point of the resulting solution."
Vapour Pressure of Liquid Solutions,Why do gases always tend to be less soluble in liquids as the temperature is raised?,"Solubility of gases in liquids decreases with an increase in temperature. This is because dissolution of gases in  liquids is an exothermic process.          Therefore, when the temperature is increased, heat is supplied and the equilibrium shifts backwards, thereby  decreasing the solubility of gases."
Vapour Pressure of Liquid Solutions,State Henry's law and mention some important applications?,"Henry's law states that partial pressure of a gas in the vapour phase is proportional to the mole fraction of  the gas in the solution. If p is the partial pressure of the gas in the vapour phase and x is the mole fraction of the  gas, then Henry's law can be expressed as:  p = KH x  Where,  KH is Henry's law constant  Some important applications of Henry's law are mentioned below.  (i) Bottles are sealed under high pressure to increase the solubility of CO2 in soft drinks and soda water.  (ii) Henry's law states that the solubility of gases increases with an increase in pressure. Therefore, when a scuba  diver dives deep into the sea, the increased sea pressure causes the nitrogen present in air to dissolve in his blood in  great amounts. As a result, when he comes back to the surface, the solubility of nitrogen again decreases and the  dissolved gas is released, leading to the formation of nitrogen bubbles in the blood. This results in the blockage of  capillaries and leads to a medical condition known as 'bends' or 'decompression sickness'.  Hence, the oxygen tanks used by scuba divers are filled with air and diluted with helium to avoid bends.  (iii) The concentration of oxygen is low in the blood and tissues of people living at high altitudes such as climbers.  This is because at high altitudes, partial pressure of oxygen is less than that at ground level. Low-blood oxygen  causes climbers to become weak and disables them from thinking clearly. These are symptoms of anoxia."
